direct_pair_multiplier,err_direct,err_parrot,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,n_pairs_direct,n_pairs_rollout,params_direct,params_rollout,seed,system
4,0.04841461405158043,0.024350908561661735,0.008246591314673424,32,2.3501297618370773,0.13489555530106362,0.11152948679403457,64000,16000,19859,19868,0,Aizawa
4,0.08636654168367386,0.030713176812762574,0.014598285779356956,64,2.3501297618370773,0.13489555530106362,0.22305897358806914,64000,16000,19859,19868,0,Aizawa
4,0.18456260859966278,0.040451736271236584,0.024162910878658295,128,2.3501297618370773,0.13489555530106362,0.4461179471761383,64000,16000,19859,19868,0,Aizawa
4,0.8535969853401184,0.057696217728622066,0.039191361516714096,256,2.3501297618370773,0.13489555530106362,0.8922358943522766,64000,16000,19859,19868,0,Aizawa
4,0.9188984632492065,0.08181202298789078,0.11156218498945236,512,2.3501297618370773,0.13489555530106362,1.7844717887045531,64000,16000,19859,19868,0,Aizawa
1,0.032581817358732224,0.02197975778819844,0.0002825523552019149,1,2.3501297618370773,0.13489555530106362,0.0034852964623135804,16000,16000,19859,19868,1,Aizawa
1,0.02349124290049076,0.022009212698713556,0.0005592807428911328,2,2.3501297618370773,0.13489555530106362,0.006970592924627161,16000,16000,19859,19868,1,Aizawa
1,0.026363566517829895,0.022087322592228245,0.0010906374081969261,4,2.3501297618370773,0.13489555530106362,0.013941185849254321,16000,16000,19859,19868,1,Aizawa
1,0.03458872437477112,0.02230179238914305,0.002070317044854164,8,2.3501297618370773,0.13489555530106362,0.027882371698508643,16000,16000,19859,19868,1,Aizawa
1,0.04948803409934044,0.022842723546243084,0.0038783971685916185,16,2.3501297618370773,0.13489555530106362,0.055764743397017286,16000,16000,19859,19868,1,Aizawa
1,0.0707143023610115,0.024350908561661735,0.007100116927176714,32,2.3501297618370773,0.13489555530106362,0.11152948679403457,16000,16000,19859,19868,1,Aizawa
1,0.14041563868522644,0.030713176812762574,0.012878340668976307,64,2.3501297618370773,0.13489555530106362,0.22305897358806914,16000,16000,19859,19868,1,Aizawa
1,0.32716137170791626,0.040451736271236584,0.02246074005961418,128,2.3501297618370773,0.13489555530106362,0.4461179471761383,16000,16000,19859,19868,1,Aizawa
1,0.8763073086738586,0.057696217728622066,0.04631573334336281,256,2.3501297618370773,0.13489555530106362,0.8922358943522766,16000,16000,19859,19868,1,Aizawa
1,1.0139635801315308,0.08181202298789078,0.12661391496658325,512,2.3501297618370773,0.13489555530106362,1.7844717887045531,16000,16000,19859,19868,1,Aizawa
4,0.026105791330337524,0.02197975778819844,0.0002825523552019149,1,2.3501297618370773,0.13489555530106362,0.0034852964623135804,64000,16000,19859,19868,1,Aizawa
4,0.022408129647374153,0.022009212698713556,0.0005592807428911328,2,2.3501297618370773,0.13489555530106362,0.006970592924627161,64000,16000,19859,19868,1,Aizawa
4,0.02449876256287098,0.022087322592228245,0.0010906374081969261,4,2.3501297618370773,0.13489555530106362,0.013941185849254321,64000,16000,19859,19868,1,Aizawa
4,0.02880197763442993,0.02230179238914305,0.002070317044854164,8,2.3501297618370773,0.13489555530106362,0.027882371698508643,64000,16000,19859,19868,1,Aizawa
