budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
3200,HenonMap,3.448312234468176e-06,1.18,nan,3242,0.0010126418370542188,3,14.46
3200,HenonMap,5.233417949057184e-06,1.18,nan,3242,0.001245030922615813,4,14.59
6400,HenonMap,2.1475960638781544e-06,1.18,nan,6393,0.0007950248343783917,0,16.11
6400,HenonMap,1.825976005420671e-06,1.18,nan,6393,0.0007396967424568142,1,16.16
6400,HenonMap,2.784452266496373e-06,1.18,nan,6393,0.000917487495732942,2,18.25
6400,HenonMap,1.3196541813158547e-06,1.18,nan,6393,0.0006264560357625509,3,17.47
6400,HenonMap,2.652391303854529e-06,1.18,nan,6393,0.0008829929569893129,4,16.45
12800,HenonMap,1.448335171517101e-06,1.18,nan,12762,0.0006594004093910456,0,18.57
12800,HenonMap,1.4180486286932137e-06,1.18,nan,12762,0.0006485929498570222,1,18.48
12800,HenonMap,1.0536444069657591e-06,1.18,nan,12762,0.0005593693727532422,2,18.58
12800,HenonMap,1.0556513939263822e-06,1.18,nan,12762,0.0005571385664390426,3,18.54
12800,HenonMap,1.2927751849929336e-06,1.18,nan,12762,0.0006174428663547981,4,18.61
25600,HenonMap,6.196955437189899e-07,1.18,nan,25593,0.00042867092099491355,0,23.23
25600,HenonMap,6.799731654609786e-07,1.18,nan,25593,0.00045202281471431424,1,22.9
25600,HenonMap,5.240509512987046e-07,1.18,nan,25593,0.0003943555050710572,2,26.29
25600,HenonMap,5.91275409078662e-07,1.18,nan,25593,0.0004210131333938279,3,24.17
25600,HenonMap,7.36890540792956e-07,1.18,nan,25593,0.00046949296696799706,4,23.2
51200,HenonMap,6.989456560404506e-07,1.18,nan,51069,0.00045687632230114437,0,31.0
51200,HenonMap,4.601438477038755e-07,1.18,nan,51069,0.00037081976805871313,1,31.0
51200,HenonMap,6.510448956760228e-07,1.18,nan,51069,0.00044088725039984175,2,32.02
51200,HenonMap,6.48558985631098e-07,1.18,nan,51069,0.00044039313168119516,3,30.99
51200,HenonMap,5.607105053968553e-07,1.18,nan,51069,0.00040656290385106795,4,29.98
200,HenonMap,2.3381518943210722e-14,1.3,nan,189,8.908976851478227e-08,0,11.91
200,HenonMap,9.943712520055215e-16,1.3,nan,189,1.499372562623215e-08,1,12.26
200,HenonMap,7.158162951270697e-16,1.3,nan,189,1.4014938595416078e-08,2,12.01
200,HenonMap,4.846678614001121e-16,1.3,nan,189,1.0577273322936132e-08,3,12.11
200,HenonMap,1.4315770791029082e-15,1.3,nan,189,1.9822015048267764e-08,4,12.17
400,HenonMap,1.4604983888943933e-16,1.3,nan,393,2.090024469701923e-09,0,12.32
400,HenonMap,5.626055177287981e-16,1.3,nan,393,1.061281496135763e-08,1,12.56
400,HenonMap,4.831135491656369e-15,1.3,nan,393,3.944262161641762e-08,2,12.27
400,HenonMap,6.112887973586112e-16,1.3,nan,393,1.326397807058697e-08,3,13.22
400,HenonMap,6.376565941934587e-16,1.3,nan,393,1.3955700807146104e-08,4,12.83
800,HenonMap,7.01660951563099e-17,1.3,nan,777,9.506661513058678e-10,0,13.24
800,HenonMap,7.818745650922665e-16,1.3,nan,777,1.3350287714313609e-08,1,12.74
800,HenonMap,2.3729906928338095e-15,1.3,nan,777,2.78303350217523e-08,2,13.29
800,HenonMap,1.3380407892782386e-15,1.3,nan,777,1.887916174671766e-08,3,12.69
800,HenonMap,8.404388296412435e-17,1.3,nan,777,1.6466019246796367e-09,4,12.71
1600,HenonMap,3.1413760481768803e-16,1.3,nan,1593,9.371015668060527e-09,0,13.55
1600,HenonMap,3.8169467586612884e-16,1.3,nan,1593,5.192528884791638e-09,1,14.17
1600,HenonMap,6.266098750984384e-16,1.3,nan,1593,1.3218475876359267e-08,2,14.79
1600,HenonMap,5.588307594450726e-16,1.3,nan,1593,1.0591504461871545e-08,3,13.49
1600,HenonMap,1.7069679003611783e-16,1.3,nan,1593,4.9664150605804486e-09,4,13.57
3200,HenonMap,4.374278717023117e-17,1.3,nan,3242,1.242551274913393e-09,0,14.14
3200,HenonMap,4.130029651605582e-17,1.3,nan,3242,5.48867372885326e-10,1,14.35
3200,HenonMap,2.500777362968165e-16,1.3,nan,3242,5.026708080146883e-09,2,13.88
3200,HenonMap,7.364664433850976e-16,1.3,nan,3242,1.4131335780118192e-08,3,13.91
3200,HenonMap,1.4288570326925764e-16,1.3,nan,3242,1.7785333813777568e-09,4,14.6
6400,HenonMap,1.1568523916594132e-16,1.3,nan,6393,1.9502177028661564e-09,0,16.19
6400,HenonMap,5.1414428270391e-16,1.3,nan,6393,1.0527313293751125e-08,1,16.0
6400,HenonMap,9.947598300641403e-17,1.3,nan,6393,1.1643234614690627e-09,2,15.61
6400,HenonMap,1.363742452298311e-15,1.3,nan,6393,1.9427693734508943e-08,3,15.89
6400,HenonMap,3.656519531602953e-16,1.3,nan,6393,1.0383244220110044e-08,4,16.08
12800,HenonMap,2.874922522266843e-16,1.3,nan,12762,9.306498619686785e-09,0,18.77
12800,HenonMap,5.11979347805891e-16,1.3,nan,12762,1.0527313293751125e-08,1,18.44
12800,HenonMap,9.349743201880756e-16,1.3,nan,12762,1.6796596572560155e-08,2,18.71
12800,HenonMap,2.5196511543867926e-16,1.3,nan,12762,5.264550489856094e-09,3,18.64
12800,HenonMap,1.5709655798445965e-16,1.3,nan,12762,1.7785333813777568e-09,4,18.46
25600,HenonMap,5.686562332130052e-16,1.3,nan,25593,1.3218475876359267e-08,0,23.03
25600,HenonMap,9.287015600989435e-17,1.3,nan,25593,1.6002095083631056e-09,1,22.64
25600,HenonMap,8.881784197001253e-19,1.3,nan,25593,0.0,2,22.96
25600,HenonMap,6.30828722592014e-16,1.3,nan,25593,1.3218475876359267e-08,3,23.01
25600,HenonMap,3.7980729672426603e-16,1.3,nan,25593,9.482865012782989e-09,4,22.72
51200,HenonMap,3.204103649068202e-16,1.3,nan,51069,9.290299784745619e-09,0,31.15
